package_name,arch,package_id,cves,errata_id,severity,errata_type,satellite_repo,source_repo
perf-4.18.0-425.10.1.el8_7,x86_64,109173,,RHSA-2023:0101,Important,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/baseos/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/baseos/os
python3-perf-4.18.0-425.10.1.el8_7,x86_64,109173,,RHSA-2023:0101,Important,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/baseos/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/baseos/os
grub2-common-2.02-142.el8_7.1,noarch,109402,,RHSA-2023:0049,Moderate,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/baseos/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/baseos/os
grub2-efi-aa64-modules-2.02-142.el8_7.1,noarch,109400,,RHSA-2023:0049,Moderate,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/baseos/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/baseos/os
grub2-efi-ia32-2.02-142.el8_7.1,x86_64,109386,,RHSA-2023:0049,Moderate,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/baseos/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/baseos/os
grub2-efi-ia32-cdboot-2.02-142.el8_7.1,x86_64,109398,,RHSA-2023:0049,Moderate,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/baseos/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/baseos/os
grub2-efi-ia32-modules-2.02-142.el8_7.1,noarch,109387,,RHSA-2023:0049,Moderate,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/baseos/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/baseos/os
grub2-efi-x64-2.02-142.el8_7.1,x86_64,109383,,RHSA-2023:0049,Moderate,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/baseos/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/baseos/os
grub2-efi-x64-cdboot-2.02-142.el8_7.1,x86_64,109385,,RHSA-2023:0049,Moderate,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/baseos/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/baseos/os
grub2-efi-x64-modules-2.02-142.el8_7.1,noarch,109384,,RHSA-2023:0049,Moderate,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/baseos/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/baseos/os
grub2-pc-2.02-142.el8_7.1,x86_64,109381,,RHSA-2023:0049,Moderate,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/baseos/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/baseos/os
grub2-pc-modules-2.02-142.el8_7.1,noarch,109382,,RHSA-2023:0049,Moderate,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/baseos/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/baseos/os
grub2-ppc64le-modules-2.02-142.el8_7.1,noarch,109380,,RHSA-2023:0049,Moderate,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/baseos/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/baseos/os
grub2-tools-2.02-142.el8_7.1,x86_64,109376,,RHSA-2023:0049,Moderate,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/baseos/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/baseos/os
grub2-tools-efi-2.02-142.el8_7.1,x86_64,109379,,RHSA-2023:0049,Moderate,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/baseos/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/baseos/os
grub2-tools-extra-2.02-142.el8_7.1,x86_64,109378,,RHSA-2023:0049,Moderate,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/baseos/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/baseos/os
grub2-tools-minimal-2.02-142.el8_7.1,x86_64,109377,,RHSA-2023:0049,Moderate,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/baseos/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/baseos/os
webkit2gtk3-2.36.7-1.el8_7.1,i686,113165,CVE-2022-42856,RHSA-2023:0016,Important,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/appstream/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/appstream/os
webkit2gtk3-2.36.7-1.el8_7.1,x86_64,113163,CVE-2022-42856,RHSA-2023:0016,Important,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/appstream/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/appstream/os
webkit2gtk3-devel-2.36.7-1.el8_7.1,i686,113179,,RHSA-2023:0016,Important,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/appstream/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/appstream/os
webkit2gtk3-devel-2.36.7-1.el8_7.1,x86_64,113175,,RHSA-2023:0016,Important,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/appstream/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/appstream/os
webkit2gtk3-jsc-2.36.7-1.el8_7.1,i686,113169,,RHSA-2023:0016,Important,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/appstream/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/appstream/os
webkit2gtk3-jsc-2.36.7-1.el8_7.1,x86_64,113167,,RHSA-2023:0016,Important,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/appstream/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/appstream/os
webkit2gtk3-jsc-devel-2.36.7-1.el8_7.1,i686,113172,,RHSA-2023:0016,Important,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/appstream/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/appstream/os
webkit2gtk3-jsc-devel-2.36.7-1.el8_7.1,x86_64,113171,,RHSA-2023:0016,Important,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/appstream/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/appstream/os
telnet-0.17-73.el8_1.1,x86_64,34877,,RHSA-2020:1318,Important,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/appstream/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/appstream/os
telnet-server-0.17-73.el8_1.1,x86_64,34878,,RHSA-2020:1318,Important,security,https://satellite.example.com/pulp/content/TestOrg/Library/RHEL8/content/dist/rhel8/8/x86_64/appstream/os/,https://cdn.redhat.com/content/dist/rhel8/8/x86_64/appstream/os
